FID,Z,Lat,Lon
329,0.000000000000000,-72.8150024,67.3413010
330,0.000000000000000,-72.8147964,67.3414001
331,0.000000000000000,-72.8144989,67.3414993
332,0.000000000000000,-72.8142014,67.3415985
333,0.000000000000000,-72.8140030,67.3417969
334,0.000000000000000,-72.8136978,67.3419037
335,0.000000000000000,-72.8134003,67.3420029
336,0.000000000000000,-72.8132019,67.3421021
337,0.000000000000000,-72.8128967,67.3423004
338,0.000000000000000,-72.8125992,67.3423996
339,0.000000000000000,-72.8124008,67.3424988
340,0.000000000000000,-72.8121033,67.3425980
341,0.000000000000000,-72.8117981,67.3427963
342,0.000000000000000,-72.8115997,67.3429031
343,0.000000000000000,-72.8113022,67.3430023
344,0.000000000000000,-72.8109970,67.3431015
345,0.000000000000000,-72.8107986,67.3432999
346,0.000000000000000,-72.8105011,67.3433990
347,0.000000000000000,-72.8102036,67.3434982
348,0.000000000000000,-72.8099976,67.3435974
349,0.000000000000000,-72.8097000,67.3438034
350,0.000000000000000,-72.8094025,67.3439026
351,0.000000000000000,-72.8090973,67.3440018
352,0.000000000000000,-72.8088989,67.3441010
353,0.000000000000000,-72.8086014,67.3442993
354,0.000000000000000,-72.8082962,67.3443985
355,0.000000000000000,-72.8080978,67.3444977
356,0.000000000000000,-72.8078003,67.3445969
357,0.000000000000000,-72.8075027,67.3448029
358,0.000000000000000,-72.8072968,67.3449020
359,0.000000000000000,-72.8069992,67.3450012
360,0.000000000000000,-72.8067017,67.3451004
361,0.000000000000000,-72.8065033,67.3452988
362,0.000000000000000,-72.8061981,67.3453979
363,0.000000000000000,-72.8059006,67.3454971
364,0.000000000000000,-72.8057022,67.3455963
365,0.000000000000000,-72.8053970,67.3458023
366,0.000000000000000,-72.8050995,67.3459015
367,0.000000000000000,-72.8049011,67.3460007
368,0.000000000000000,-72.8046036,67.3460999
369,0.000000000000000,-72.8042984,67.3462982
370,0.000000000000000,-72.8041000,67.3463974
371,0.000000000000000,-72.8038025,67.3464966
372,0.000000000000000,-72.8034973,67.3466034
373,0.000000000000000,-72.8032990,67.3467026
374,0.000000000000000,-72.8030014,67.3469009
375,0.000000000000000,-72.8026962,67.3470001
376,0.000000000000000,-72.8024979,67.3470993
377,0.000000000000000,-72.8022003,67.3472977
378,0.000000000000000,-72.8019028,67.3473969
379,0.000000000000000,-72.8016968,67.3475037
380,0.000000000000000,-72.8013992,67.3476028
381,0.000000000000000,-72.8011017,67.3477020
382,0.000000000000000,-72.8009033,67.3479004
383,0.000000000000000,-72.8005981,67.3479996
384,0.000000000000000,-72.8003006,67.3480988
385,0.000000000000000,-72.8001022,67.3481979
386,0.000000000000000,-72.7997971,67.3483963
387,0.000000000000000,-72.7994995,67.3485031
388,0.000000000000000,-72.7993011,67.3486023
389,0.000000000000000,-72.7990036,67.3487015
390,0.000000000000000,-72.7986984,67.3488998
391,0.000000000000000,-72.7985001,67.3489990
392,0.000000000000000,-72.7982025,67.3490982
393,0.000000000000000,-72.7978973,67.3491974
394,0.000000000000000,-72.7975998,67.3494034
395,0.000000000000000,-72.7974014,67.3495026
396,0.000000000000000,-72.7970963,67.3496017
397,0.000000000000000,-72.7967987,67.3497009
398,0.000000000000000,-72.7966003,67.3498993
399,0.000000000000000,-72.7963028,67.3499985
400,0.000000000000000,-72.7959976,67.3500977
401,0.000000000000000,-72.7957993,67.3501968
402,0.000000000000000,-72.7955017,67.3504028
403,0.000000000000000,-72.7951965,67.3505020
404,0.000000000000000,-72.7949982,67.3506012
405,0.000000000000000,-72.7947006,67.3507004
406,0.000000000000000,-72.7944031,67.3508987
407,0.000000000000000,-72.7941971,67.3509979
408,0.000000000000000,-72.7938995,67.3510971
409,0.000000000000000,-72.7936020,67.3511963
410,0.000000000000000,-72.7934036,67.3514023
411,0.000000000000000,-72.7930984,67.3515015
412,0.000000000000000,-72.7928009,67.3516006
413,0.000000000000000,-72.7926025,67.3516998
414,0.000000000000000,-72.7922974,67.3518982
415,0.000000000000000,-72.7919998,67.3519974
416,0.000000000000000,-72.7918015,67.3520966
417,0.000000000000000,-72.7914963,67.3522034
418,0.000000000000000,-72.7911987,67.3524017
419,0.000000000000000,-72.7910004,67.3525009
